2024/07/12 00:09:56 CPUs: 1, Goroutines: 101, Time: 79s, Workers: 100
2024/07/12 00:11:48 CPUs: 1, Goroutines: 101, Time: 78s, Workers: 100
2024/07/12 00:16:33 CPUs: 1, Goroutines: 201, Time: 157s, Workers: 200
2024/07/12 00:16:59 CPUs: 8, Goroutines: 101, Time: 19s, Workers: 100
2024/07/12 00:17:49 CPUs: 8, Goroutines: 201, Time: 41s, Workers: 200
2024/07/12 00:18:55 CPUs: 8, Goroutines: 201, Time: 41s, Workers: 200
2024/07/12 00:20:52 CPUs: 8, Goroutines: 201, Time: 39s, Workers: 200
2024/07/12 00:23:11 CPUs: 3, Goroutines: 201, Time: 63s, Workers: 200
2024/07/12 00:25:20 CPUs: 3, Goroutines: 201, Time: 64s, Workers: 200
2024/07/12 00:26:54 CPUs: 3, Goroutines: 201, Time: 85s, Workers: 200
2024/07/12 00:29:24 CPUs: 8, Goroutines: 201, Time: 40s, Workers: 200
2024/07/12 00:33:46 CPUs: 2, Goroutines: 201, Time: 87s, Workers: 200
2024/07/12 00:41:20 CPUs: 6, Goroutines: 201, Time: 47s, Workers: 200
2024/07/12 00:47:40 CPUs: 8, Goroutines: 101, Time: 19s, Workers: 100
2024/07/12 00:49:33 CPUs: 4, Goroutines: 251, Time: 71s, Workers: 250
2024/07/12 00:51:15 CPUs: 4, Goroutines: 251, Time: 81s, Workers: 250
2024/07/12 11:52:13 CPUs: 8, Goroutines: 251, Time: 166s, Workers: 250
2024/07/12 11:56:32 CPUs: 8, Goroutines: 251, Time: 219s, Workers: 250
2024/07/12 11:59:26 CPUs: 8, Goroutines: 51, Time: 19s, Workers: 50
2024/07/12 12:01:21 CPUs: 8, Goroutines: 251, Time: 80s, Workers: 250
2024/07/12 12:02:08 CPUs: 8, Goroutines: 11, Time: 4s, Workers: 10
2024/07/12 12:03:28 CPUs: 8, Goroutines: 51, Time: 13s, Workers: 50
2024/07/12 12:04:34 CPUs: 1, Goroutines: 51, Time: 40s, Workers: 50
2024/07/12 12:05:36 CPUs: 4, Goroutines: 101, Time: 30s, Workers: 100
2024/07/12 12:07:20 CPUs: 1, Goroutines: 101, Time: 80s, Workers: 100
2024/07/12 12:10:02 CPUs: 8, Goroutines: 301, Time: 83s, Workers: 300
2024/07/12 12:12:28 CPUs: 4, Goroutines: 301, Time: 120s, Workers: 300
2024/07/12 12:17:23 CPUs: 1, Goroutines: 301, Time: 265s, Workers: 300
2024/07/12 12:20:54 CPUs: 8, Goroutines: 301, Time: 95s, Workers: 300
2024/07/12 12:24:23 CPUs: 8, Goroutines: 301, Time: 175s, Workers: 300
2024/07/12 12:24:24 CPUs: 8, Goroutines: 301, Time: 175s, Workers: 300
2024/07/12 12:27:42 CPUs: 8, Goroutines: 101, Time: 29s, Workers: 100
2024/07/12 12:27:52 CPUs: 8, Goroutines: 101, Time: 31s, Workers: 100
